,Name,AHA ID,Hospital ID,Cancer Ranking,Cancer Ranking Tied?,Cancer Ranking Revoked?,Cancer Ranking Specialty ID,Cancer Ranking PrettyPrinter,Cancer Care Score,Updated
190,Virginia Mason Medical Center,6910780,6910780,,,,IHQCANC,adult,38.9/100,2023-01-04 19:41:01.724154
191,Kaiser Permanente Sunnyside Medical Center,6920045,6920045,,,,IHQCANC,adult,38.8/100,2023-01-04 19:41:01.724154
192,Memorial Hermann Hospital,6741890,6741890,,,,IHQCANC,adult,38.8/100,2023-01-04 19:41:01.724154
193,Ascension Providence Hospital-Southfield,6440780,6440780,,,,IHQCANC,adult,38.7/100,2023-01-04 19:41:01.724154
194,Sentara Virginia Beach General Hospital,6341162,6341162,,,,IHQCANC,adult,38.7/100,2023-01-04 19:41:01.724154
195,Baptist Memorial Hospital-Memphis,6520681,6520681,,,,IHQCANC,adult,38.6/100,2023-01-04 19:41:01.724154
196,Kaiser Permanente Fontana and Ontario Medical Centers,6930737,6930737,,,,IHQCANC,adult,38.6/100,2023-01-04 19:41:01.724154
197,Providence St. Jude Medical Center,6930823,6930823,,,,IHQCANC,adult,38.6/100,2023-01-04 19:41:01.724154
198,SCL Health St. Joseph Hospital,6840400,6840400,,,,IHQCANC,adult,38.6/100,2023-01-04 19:41:01.724154
199,Providence Mission Hospital-Mission Viejo and Laguna Beach,6931915,6931915,,,,IHQCANC,adult,38.5/100,2023-01-04 19:41:01.724154
200,UMass Memorial Medical Center,6141095,6141095,,,,IHQCANC,adult,38.4/100,2023-01-04 19:41:01.724154
201,Brigham and Women's Faulkner Hospital,6140310,6140310,,,,IHQCANC,adult,38.3/100,2023-01-04 19:41:01.724154
202,ChristianaCare Hospitals,6310120,6310120,,,,IHQCANC,adult,38.3/100,2023-01-04 19:41:01.724154
203,Jefferson Health-Abington Hospital,6230010,6230010,,,,IHQCANC,adult,38.3/100,2023-01-04 19:41:01.724154
204,Inova Loudoun Hospital,6340400,6340400,,,,IHQCANC,adult,38.2/100,2023-01-04 19:41:01.724154
205,Kaiser Permanente Downey Medical Center,6930243,6930243,,,,IHQCANC,adult,38.2/100,2023-01-04 19:41:01.724154
206,Johns Hopkins Bayview Medical Center,6320050,6320050,,,,IHQCANC,adult,38.1/100,2023-01-04 19:41:01.724154
207,Kaiser Permanente San Diego Zion and San Diego Medical Center,6931173,6931173,,,,IHQCANC,adult,38.1/100,2023-01-04 19:41:01.724154
208,Providence Alaska Medical Center,6940020,6940020,,,,IHQCANC,adult,38.1/100,2023-01-04 19:41:01.724154
209,Providence St. Joseph Hospital-Orange,6932300,6932300,,,,IHQCANC,adult,38.1/100,2023-01-04 19:41:01.724154
210,Providence St. Joseph Medical Center-Burbank,6930340,6930340,,,,IHQCANC,adult,38.1/100,2023-01-04 19:41:01.724154
211,Advent Health Shawnee Mission,6670783,6670783,,,,IHQCANC,adult,38.0/100,2023-01-04 19:41:01.724154
212,Porter Adventist Hospital,6840360,6840360,,,,IHQCANC,adult,38.0/100,2023-01-04 19:41:01.724154
