,Name (Specialty),AHA ID,Hospital ID,Specialty ID,Specialty Score,Specialty Ranking,Specialty Ranking Tied?,Specialty Ranking Revoked?,Specialty Ranking Type,Updated
130,John Muir Health-Concord Medical Center,6930480,6930480,IHQCANC,42.6/100,,,,adult,2023-01-04 20:29:21.680567
131,John Muir Health-Walnut Creek Medical Center,6933853,6933853,IHQCANC,42.5/100,,,,adult,2023-01-04 20:29:21.680567
132,Cleveland Clinic Weston,6390205,6390205,IHQCANC,42.4/100,,,,adult,2023-01-04 20:29:21.680567
133,Advocate Lutheran General Hospital,6430405,6430405,IHQCANC,42.3/100,,,,adult,2023-01-04 20:29:21.680567
134,Greater Baltimore Medical Center,6320125,6320125,IHQCANC,42.2/100,,,,adult,2023-01-04 20:29:21.680567
135,Covenant Medical Center-Lubbock,6742360,6742360,IHQCANC,42.1/100,,,,adult,2023-01-04 20:29:21.680567
136,Banner-University Medical Center Phoenix,6860250,6860250,IHQCANC,42.0/100,,,,adult,2023-01-04 20:29:21.680567
137,Saint Joseph Hospital-Lexington,6510440,6510440,IHQCANC,41.9/100,,,,adult,2023-01-04 20:29:21.680567
138,Staten Island University Hospital at Northwell Health,6214735,6214735,IHQCANC,41.9/100,,,,adult,2023-01-04 20:29:21.680567
139,Main Line Health Paoli Hospital,6233430,6233430,IHQCANC,41.8/100,,,,adult,2023-01-04 20:29:21.680567
140,Medical City Dallas,6741025,6741025,IHQCANC,41.6/100,,,,adult,2023-01-04 20:29:21.680567
141,Abbott Northwestern Hospital,6610815,6610815,IHQCANC,41.4/100,,,,adult,2023-01-04 20:29:21.680567
142,Houston Methodist Willowbrook Hospital,6740204,6740204,IHQCANC,41.4/100,,,,adult,2023-01-04 20:29:21.680567
143,Memorial Hospital West,6390034,6390034,IHQCANC,41.3/100,,,,adult,2023-01-04 20:29:21.680567
144,Dell Seton Medical Center at the University of Texas,6741110,6741110,IHQCANC,41.2/100,,,,adult,2023-01-04 20:29:21.680567
145,Intermountain LDS Hospital,6870260,6870260,IHQCANC,41.2/100,,,,adult,2023-01-04 20:29:21.680567
146,Providence Portland Medical Center,6920520,6920520,IHQCANC,41.1/100,,,,adult,2023-01-04 20:29:21.680567
147,Advocate Sherman Hospital,6431610,6431610,IHQCANC,41.0/100,,,,adult,2023-01-04 20:29:21.680567
148,Aurora St. Luke's Medical Center,6450017,6450017,IHQCANC,41.0/100,,,,adult,2023-01-04 20:29:21.680567
149,Las Palmas Medical Center,6741315,6741315,IHQCANC,41.0/100,,,,adult,2023-01-04 20:29:21.680567
150,Westchester Medical Center,6215150,6215150,IHQCANC,41.0/100,,,,adult,2023-01-04 20:29:21.680567
151,Amita Health Adventist La Grange Medical Center,6432055,6432055,IHQCANC,40.9/100,,,,adult,2023-01-04 20:29:21.680567
152,Beaumont Hospital-Dearborn,6440405,6440405,IHQCANC,40.9/100,,,,adult,2023-01-04 20:29:21.680567
153,Beaumont Hospital-Grosse Pointe,6441260,6441260,IHQCANC,40.9/100,,,,adult,2023-01-04 20:29:21.680567
154,Methodist Hospitals of Memphis,6520785,6520785,IHQCANC,40.9/100,,,,adult,2023-01-04 20:29:21.680567
155,Good Samaritan Hospital-Cincinnati,6410490,6410490,IHQCANC,40.8/100,,,,adult,2023-01-04 20:29:21.680567
156,Henry Mayo Newhall Hospital,6933488,6933488,IHQCANC,40.7/100,,,,adult,2023-01-04 20:29:21.680567
157,Eisenhower Medical Center,6932324,6932324,IHQCANC,40.6/100,,,,adult,2023-01-04 20:29:21.680567
158,George Washington University Hospital,6330140,6330140,IHQCANC,40.6/100,,,,adult,2023-01-04 20:29:21.680567
159,Adventist Health Glendale,6930831,6930831,IHQCANC,40.5/100,,,,adult,2023-01-04 20:29:21.680567
160,Missouri Baptist Medical Center,6631100,6631100,IHQCANC,40.5/100,,,,adult,2023-01-04 20:29:21.680567
161,Temple University Hospital,6232300,6232300,IHQCANC,40.5/100,,,,adult,2023-01-04 20:29:21.680567
162,Duke Regional Hospital,6360440,6360440,IHQCANC,40.4/100,,,,adult,2023-01-04 20:29:21.680567
163,Sanford Medical Center Fargo,6640180,6640180,IHQCANC,40.3/100,,,,adult,2023-01-04 20:29:21.680567
164,UAMS Medical Center,6710440,6710440,IHQCANC,40.3/100,,,,adult,2023-01-04 20:29:21.680567
165,Lehigh Valley Hospital-Cedar Crest,6230013,6230013,IHQCANC,40.2/100,,,,adult,2023-01-04 20:29:21.680567
166,Rhode Island Hospital,6150150,6150150,IHQCANC,40.2/100,,,,adult,2023-01-04 20:29:21.680567
167,Memorial Hermann Greater Heights Hospital,6741952,6741952,IHQCANC,40.1/100,,,,adult,2023-01-04 20:29:21.680567
168,Methodist Richardson Medical Center,6742911,6742911,IHQCANC,40.1/100,,,,adult,2023-01-04 20:29:21.680567
